day,blob1_id,blob1_color,blob1_strategy,blob2_id,blob2_color,blob2_strategy,blob1_choice,blob2_choice,result
13,blue18,blue,random,green34,green,mirror,paper,scissors,loss
13,green35,green,mirror,black07,black,lstm,rock,scissors,win
13,green36,green,mirror,green37,green,mirror,scissors,rock,loss
13,blue19,blue,random,green38,green,mirror,rock,paper,loss
13,green39,green,mirror,green40,green,mirror,scissors,scissors,draw
13,red10,red,dominant,blue20,blue,random,rock,rock,draw
13,green41,green,mirror,black08,black,lstm,rock,rock,draw
13,green42,green,mirror,green43,green,mirror,rock,paper,loss
13,green44,green,mirror,blue21,blue,random,rock,scissors,win
13,blue22,blue,random,green45,green,mirror,rock,paper,loss
13,blue23,blue,random,blue24,blue,random,rock,scissors,win
13,green46,green,mirror,green47,green,mirror,rock,paper,loss
13,blue25,blue,random,green48,green,mirror,paper,rock,win
13,red11,red,dominant,blue26,blue,random,rock,rock,draw
14,red00,red,dominant,blue00,blue,random,rock,scissors,win
14,green00,green,mirror,purple00,purple,rl,paper,scissors,loss
14,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
14,blue01,blue,random,green01,green,mirror,scissors,rock,loss
14,blue02,blue,random,green02,green,mirror,rock,paper,loss
14,red01,red,dominant,green03,green,mirror,rock,paper,loss
14,blue03,blue,random,green04,green,mirror,paper,paper,draw
14,blue04,blue,random,green05,green,mirror,paper,rock,win
14,green06,green,mirror,red02,red,dominant,scissors,rock,loss
14,green07,green,mirror,blue05,blue,random,paper,rock,win
14,blue06,blue,random,blue07,blue,random,scissors,paper,win
14,green08,green,mirror,green09,green,mirror,rock,paper,loss
14,red03,red,dominant,green10,green,mirror,paper,paper,draw
14,black01,black,lstm,blue08,blue,random,rock,rock,draw
14,green11,green,mirror,green12,green,mirror,scissors,rock,loss
14,blue09,blue,random,red04,red,dominant,paper,scissors,loss
14,blue10,blue,random,green13,green,mirror,rock,paper,loss
14,red05,red,dominant,black02,black,lstm,rock,paper,loss
14,green14,green,mirror,green15,green,mirror,paper,scissors,loss
14,green16,green,mirror,blue11,blue,random,scissors,scissors,draw
14,green17,green,mirror,blue12,blue,random,scissors,paper,win
14,green18,green,mirror,green19,green,mirror,paper,rock,win
14,green20,green,mirror,blue13,blue,random,rock,rock,draw
14,green21,green,mirror,black03,black,lstm,rock,scissors,win
14,blue14,blue,random,green22,green,mirror,scissors,paper,win
14,green23,green,mirror,green24,green,mirror,scissors,rock,loss
14,red06,red,dominant,blue15,blue,random,scissors,scissors,draw
14,blue16,blue,random,green25,green,mirror,rock,rock,draw
14,red07,red,dominant,black04,black,lstm,rock,scissors,win
14,red08,red,dominant,green26,green,mirror,rock,paper,loss
14,black05,black,lstm,green27,green,mirror,paper,scissors,loss
14,green28,green,mirror,red09,red,dominant,paper,scissors,loss
14,purple01,purple,rl,black06,black,lstm,rock,rock,draw
14,green29,green,mirror,blue17,blue,random,scissors,rock,loss
14,green30,green,mirror,green31,green,mirror,paper,paper,draw
14,green32,green,mirror,green33,green,mirror,rock,scissors,win
14,blue18,blue,random,green34,green,mirror,rock,scissors,win
14,green35,green,mirror,black07,black,lstm,rock,scissors,win
14,green36,green,mirror,green37,green,mirror,paper,rock,win
14,blue19,blue,random,green38,green,mirror,paper,rock,win
14,green39,green,mirror,green40,green,mirror,scissors,rock,loss
14,red10,red,dominant,blue20,blue,random,rock,rock,draw
14,green41,green,mirror,black08,black,lstm,paper,rock,win
14,green42,green,mirror,green43,green,mirror,paper,paper,draw
14,green44,green,mirror,blue21,blue,random,rock,paper,loss
14,blue22,blue,random,green45,green,mirror,rock,paper,loss
14,blue23,blue,random,blue24,blue,random,scissors,scissors,draw
14,green46,green,mirror,green47,green,mirror,scissors,paper,win
14,blue25,blue,random,green48,green,mirror,paper,scissors,loss
14,red11,red,dominant,blue26,blue,random,scissors,scissors,draw
15,red00,red,dominant,blue00,blue,random,scissors,rock,loss
15,green00,green,mirror,purple00,purple,rl,rock,rock,draw
15,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
15,blue01,blue,random,green01,green,mirror,rock,rock,draw
15,blue02,blue,random,green02,green,mirror,rock,paper,loss
15,red01,red,dominant,green03,green,mirror,scissors,paper,win
15,blue03,blue,random,green04,green,mirror,paper,scissors,loss
15,blue04,blue,random,green05,green,mirror,scissors,rock,loss
15,green06,green,mirror,red02,red,dominant,paper,rock,win
15,green07,green,mirror,blue05,blue,random,paper,paper,draw
15,blue06,blue,random,blue07,blue,random,rock,paper,loss
15,green08,green,mirror,green09,green,mirror,paper,paper,draw
15,red03,red,dominant,green10,green,mirror,rock,paper,loss
15,black01,black,lstm,blue08,blue,random,rock,rock,draw
15,green11,green,mirror,green12,green,mirror,rock,rock,draw
15,blue09,blue,random,red04,red,dominant,paper,paper,draw
15,blue10,blue,random,green13,green,mirror,paper,paper,draw
15,red05,red,dominant,black02,black,lstm,paper,paper,draw
15,green14,green,mirror,green15,green,mirror,paper,scissors,loss
15,green16,green,mirror,blue11,blue,random,scissors,rock,loss
15,green17,green,mirror,blue12,blue,random,scissors,paper,win
15,green18,green,mirror,green19,green,mirror,paper,scissors,loss
15,green20,green,mirror,blue13,blue,random,paper,paper,draw
15,green21,green,mirror,black03,black,lstm,rock,rock,draw
15,blue14,blue,random,green22,green,mirror,rock,paper,loss
15,green23,green,mirror,green24,green,mirror,paper,rock,win
15,red06,red,dominant,blue15,blue,random,rock,rock,draw
15,blue16,blue,random,green25,green,mirror,scissors,rock,loss
15,red07,red,dominant,black04,black,lstm,rock,scissors,win
15,red08,red,dominant,green26,green,mirror,rock,paper,loss
15,black05,black,lstm,green27,green,mirror,paper,scissors,loss
15,green28,green,mirror,red09,red,dominant,paper,rock,win
15,purple01,purple,rl,black06,black,lstm,rock,rock,draw
15,green29,green,mirror,blue17,blue,random,paper,scissors,loss
15,green30,green,mirror,green31,green,mirror,paper,scissors,loss
15,green32,green,mirror,green33,green,mirror,rock,rock,draw
15,blue18,blue,random,green34,green,mirror,paper,scissors,loss
15,green35,green,mirror,black07,black,lstm,rock,scissors,win
15,green36,green,mirror,green37,green,mirror,paper,rock,win
15,blue19,blue,random,green38,green,mirror,paper,scissors,loss
15,green39,green,mirror,green40,green,mirror,scissors,rock,loss
15,red10,red,dominant,blue20,blue,random,scissors,paper,win
15,green41,green,mirror,black08,black,lstm,paper,scissors,loss
15,green42,green,mirror,green43,green,mirror,scissors,paper,win
15,green44,green,mirror,blue21,blue,random,rock,rock,draw
15,blue22,blue,random,green45,green,mirror,paper,rock,win
15,blue23,blue,random,blue24,blue,random,scissors,scissors,draw
15,green46,green,mirror,green47,green,mirror,paper,paper,draw
15,blue25,blue,random,green48,green,mirror,rock,rock,draw
15,red11,red,dominant,blue26,blue,random,rock,scissors,win
16,red00,red,dominant,blue00,blue,random,paper,scissors,loss
16,green00,green,mirror,purple00,purple,rl,rock,scissors,win
16,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
16,blue01,blue,random,green01,green,mirror,rock,paper,loss
16,blue02,blue,random,green02,green,mirror,scissors,paper,win
16,red01,red,dominant,green03,green,mirror,rock,paper,loss
16,blue03,blue,random,green04,green,mirror,paper,scissors,loss
16,blue04,blue,random,green05,green,mirror,rock,rock,draw
16,green06,green,mirror,red02,red,dominant,paper,rock,win
16,green07,green,mirror,blue05,blue,random,rock,scissors,win
16,blue06,blue,random,blue07,blue,random,paper,rock,win
16,green08,green,mirror,green09,green,mirror,scissors,paper,win
16,red03,red,dominant,green10,green,mirror,rock,paper,loss
16,black01,black,lstm,blue08,blue,random,rock,paper,loss
